locked_world
1
added_wilds
700
type	added_count	min_level	max_level
forest	100	1	6
hill	100	1	6
rarefactory	100	1	6
swamp	100	1	6
oil	100	1	6
ironworks	100	1	6
grainfield	100	1	6
id	type	x	y	level	total_res	garrison
698	grainfield	42	6	5	4000	{"infantry":25}
699	hill	42	9	3	0	{"armored":15}
700	grainfield	42	56	1	800	{"armored":5}
701	hill	42	147	2	0	{"armored":10}
702	ironworks	42	180	4	3200	{"ltank":20}
703	hill	42	191	5	0	{"motor":25}
704	rarefactory	43	54	2	1600	{"infantry":10}
705	oil	43	160	5	4000	{"armored":25}
706	grainfield	44	87	5	4000	{"motor":25}
707	swamp	44	94	2	0	{"armored":10}
708	rarefactory	44	197	2	1600	{"infantry":10}
709	grainfield	45	0	5	4000	{"motor":25}
710	ironworks	45	29	2	1600	{"ltank":10}
711	grainfield	46	7	5	4000	{"ltank":25}
712	forest	46	66	6	0	{"armored":30}
713	ironworks	46	118	2	1600	{"armored":10}
714	hill	46	143	2	0	{"armored":10}
715	forest	46	154	3	0	{"infantry":15}
716	forest	46	168	3	0	{"ltank":15}
717	grainfield	46	176	2	1600	{"ltank":10}
718	hill	47	76	3	0	{"infantry":15}
719	rarefactory	47	109	3	2400	{"motor":15}
720	hill	47	137	3	0	{"motor":15}
721	forest	48	15	3	0	{"motor":15}
722	ironworks	48	19	1	800	{"motor":5}
723	ironworks	48	42	6	4800	{"infantry":30}
724	forest	48	58	6	0	{"infantry":30}
725	ironworks	48	177	2	1600	{"ltank":10}
726	ironworks	49	1	1	800	{"armored":5}
727	grainfield	49	26	2	1600	{"infantry":10}
728	forest	49	60	5	0	{"armored":25}
729	grainfield	49	79	1	800	{"ltank":5}
730	forest	49	185	2	0	{"motor":10}
731	forest	49	192	3	0	{"ltank":15}
732	rarefactory	50	182	4	3200	{"armored":20}
733	forest	51	55	4	0	{"armored":20}
734	grainfield	51	91	5	4000	{"motor":25}
735	swamp	51	96	2	0	{"infantry":10}
736	rarefactory	51	162	3	2400	{"ltank":15}
737	rarefactory	51	164	6	4800	{"motor":30}
738	swamp	52	3	1	0	{"infantry":5}
739	hill	52	17	3	0	{"armored":15}
740	hill	52	25	6	0	{"motor":30}
741	grainfield	52	57	3	2400	{"motor":15}
742	hill	52	64	4	0	{"infantry":20}
743	ironworks	52	84	4	3200	{"armored":20}
744	forest	52	98	3	0	{"motor":15}
745	forest	52	122	5	0	{"ltank":25}
746	hill	52	174	2	0	{"ltank":10}
747	oil	53	157	5	4000	{"ltank":25}
748	grainfield	53	181	3	2400	{"ltank":15}
749	forest	54	10	2	0	{"motor":10}
750	rarefactory	54	50	5	4000	{"infantry":25}
751	hill	54	190	3	0	{"infantry":15}
752	ironworks	55	66	2	1600	{"infantry":10}
753	oil	55	78	3	2400	{"ltank":15}
754	swamp	55	99	6	0	{"ltank":30}
755	ironworks	55	107	5	4000	{"infantry":25}
756	hill	55	140	3	0	{"infantry":15}
757	rarefactory	55	168	2	1600	{"ltank":10}
758	hill	55	180	2	0	{"armored":10}
759	rarefactory	56	4	2	1600	{"armored":10}
760	oil	56	44	1	800	{"motor":5}
761	oil	56	138	5	4000	{"motor":25}
762	oil	56	160	4	3200	{"armored":20}
763	oil	56	176	1	800	{"infantry":5}
764	swamp	57	62	1	0	{"motor":5}
765	grainfield	57	94	5	4000	{"ltank":25}
766	swamp	57	129	3	0	{"infantry":15}
767	grainfield	57	166	1	800	{"armored":5}
768	grainfield	57	186	5	4000	{"ltank":25}
769	hill	58	96	6	0	{"infantry":30}
770	grainfield	58	106	5	4000	{"ltank":25}
771	oil	58	152	6	4800	{"infantry":30}
772	hill	58	162	5	0	{"infantry":25}
773	swamp	59	67	5	0	{"ltank":25}
774	oil	59	102	6	4800	{"ltank":30}
775	hill	59	139	4	0	{"ltank":20}
776	forest	59	172	1	0	{"armored":5}
777	forest	60	12	5	0	{"infantry":25}
778	grainfield	60	113	6	4800	{"motor":30}
779	swamp	60	157	4	0	{"ltank":20}
780	grainfield	60	197	4	3200	{"ltank":20}
781	grainfield	61	45	6	4800	{"ltank":30}
782	oil	61	99	5	4000	{"motor":25}
783	grainfield	61	148	4	3200	{"armored":20}
784	ironworks	61	161	3	2400	{"armored":15}
785	ironworks	62	24	5	4000	{"infantry":25}
786	swamp	62	89	3	0	{"armored":15}
787	grainfield	62	111	6	4800	{"armored":30}
788	swamp	62	127	6	0	{"ltank":30}
789	grainfield	62	185	6	4800	{"ltank":30}
790	rarefactory	63	34	5	4000	{"infantry":25}
791	rarefactory	63	83	1	800	{"motor":5}
792	grainfield	63	176	6	4800	{"infantry":30}
793	grainfield	63	181	1	800	{"infantry":5}
794	oil	63	194	1	800	{"motor":5}
795	oil	64	23	4	3200	{"armored":20}
796	forest	64	27	1	0	{"infantry":5}
797	grainfield	64	78	1	800	{"motor":5}
798	hill	64	87	5	0	{"ltank":25}
799	swamp	64	130	6	0	{"infantry":30}
800	grainfield	65	16	1	800	{"ltank":5}
801	rarefactory	65	25	3	2400	{"ltank":15}
802	grainfield	66	6	2	1600	{"motor":10}
803	forest	66	39	5	0	{"infantry":25}
804	ironworks	66	96	6	4800	{"motor":30}
805	rarefactory	67	14	5	4000	{"armored":25}
806	swamp	67	52	2	0	{"infantry":10}
807	oil	67	60	3	2400	{"ltank":15}
808	grainfield	67	99	6	4800	{"infantry":30}
809	rarefactory	67	109	5	4000	{"motor":25}
810	grainfield	67	125	3	2400	{"infantry":15}
811	grainfield	67	132	6	4800	{"infantry":30}
812	ironworks	67	138	2	1600	{"infantry":10}
813	ironworks	67	168	3	2400	{"ltank":15}
814	rarefactory	68	23	5	4000	{"ltank":25}
815	forest	68	70	5	0	{"motor":25}
816	ironworks	68	119	4	3200	{"motor":20}
817	hill	69	30	6	0	{"armored":30}
818	rarefactory	69	64	4	3200	{"armored":20}
819	forest	69	80	1	0	{"ltank":5}
820	grainfield	69	95	2	1600	{"motor":10}
821	hill	69	190	6	0	{"armored":30}
822	swamp	70	43	5	0	{"ltank":25}
823	rarefactory	70	74	5	4000	{"armored":25}
824	grainfield	71	4	3	2400	{"armored":15}
825	oil	71	34	2	1600	{"motor":10}
826	swamp	71	77	6	0	{"armored":30}
827	grainfield	71	118	3	2400	{"ltank":15}
828	oil	71	137	1	800	{"armored":5}
829	ironworks	71	179	4	3200	{"infantry":20}
830	oil	72	17	2	1600	{"motor":10}
831	ironworks	72	48	6	4800	{"infantry":30}
832	swamp	72	68	5	0	{"armored":25}
833	swamp	72	103	4	0	{"motor":20}
834	hill	73	2	3	0	{"ltank":15}
835	oil	73	20	1	800	{"ltank":5}
836	grainfield	73	121	4	3200	{"ltank":20}
837	rarefactory	73	150	2	1600	{"armored":10}
838	swamp	73	170	2	0	{"ltank":10}
839	swamp	73	188	2	0	{"infantry":10}
840	rarefactory	74	88	4	3200	{"ltank":20}
841	forest	74	127	3	0	{"ltank":15}
842	grainfield	75	10	6	4800	{"armored":30}
843	oil	75	35	6	4800	{"ltank":30}
844	grainfield	75	62	5	4000	{"ltank":25}
845	oil	75	143	5	4000	{"ltank":25}
846	hill	76	17	3	0	{"ltank":15}
847	oil	76	20	1	800	{"motor":5}
848	rarefactory	76	40	5	4000	{"ltank":25}
849	ironworks	76	51	5	4000	{"ltank":25}
850	rarefactory	76	75	3	2400	{"infantry":15}
851	hill	76	80	4	0	{"armored":20}
852	swamp	76	125	2	0	{"motor":10}
853	rarefactory	76	133	3	2400	{"motor":15}
854	hill	76	146	4	0	{"ltank":20}
855	ironworks	77	73	4	3200	{"armored":20}
856	rarefactory	77	90	1	800	{"armored":5}
857	swamp	77	150	4	0	{"infantry":20}
858	oil	78	99	3	2400	{"armored":15}
859	hill	78	110	5	0	{"infantry":25}
860	hill	79	40	6	0	{"infantry":30}
861	rarefactory	79	108	5	4000	{"motor":25}
862	forest	79	138	1	0	{"ltank":5}
863	grainfield	80	30	6	4800	{"armored":30}
864	oil	80	36	2	1600	{"motor":10}
865	grainfield	80	189	1	800	{"ltank":5}
866	grainfield	81	2	3	2400	{"armored":15}
867	oil	81	5	6	4800	{"infantry":30}
868	hill	81	55	2	0	{"motor":10}
869	hill	81	85	2	0	{"motor":10}
870	swamp	81	99	1	0	{"ltank":5}
871	rarefactory	81	163	4	3200	{"ltank":20}
872	swamp	81	195	1	0	{"ltank":5}
873	swamp	82	43	3	0	{"infantry":15}
874	ironworks	82	109	5	4000	{"infantry":25}
875	forest	82	122	2	0	{"ltank":10}
876	hill	82	151	1	0	{"infantry":5}
877	oil	83	15	3	2400	{"ltank":15}
878	hill	83	22	4	0	{"motor":20}
879	grainfield	83	50	5	4000	{"infantry":25}
880	forest	83	65	2	0	{"armored":10}
881	ironworks	83	74	3	2400	{"infantry":15}
882	oil	83	104	3	2400	{"motor":15}
883	oil	83	126	4	3200	{"ltank":20}
884	hill	83	144	1	0	{"motor":5}
885	hill	83	158	1	0	{"infantry":5}
886	hill	83	172	1	0	{"armored":5}
887	rarefactory	84	9	1	800	{"armored":5}
888	swamp	84	48	6	0	{"armored":30}
889	forest	84	94	2	0	{"ltank":10}
890	rarefactory	84	113	3	2400	{"ltank":15}
891	ironworks	84	151	3	2400	{"motor":15}
892	ironworks	84	156	4	3200	{"ltank":20}
893	hill	85	19	1	0	{"armored":5}
894	rarefactory	85	36	1	800	{"ltank":5}
895	hill	85	85	3	0	{"infantry":15}
896	rarefactory	85	117	4	3200	{"motor":20}
897	ironworks	85	122	3	2400	{"armored":15}
898	rarefactory	85	170	4	3200	{"motor":20}
899	ironworks	86	143	2	1600	{"motor":10}
900	rarefactory	86	188	5	4000	{"armored":25}
901	swamp	87	13	5	0	{"motor":25}
902	swamp	87	36	1	0	{"ltank":5}
903	hill	87	79	6	0	{"motor":30}
904	oil	87	168	1	800	{"motor":5}
905	forest	88	50	3	0	{"armored":15}
906	swamp	88	93	3	0	{"infantry":15}
907	swamp	88	101	3	0	{"infantry":15}
908	swamp	89	19	1	0	{"ltank":5}
909	rarefactory	89	56	5	4000	{"infantry":25}
910	grainfield	89	59	5	4000	{"motor":25}
911	forest	89	70	5	0	{"infantry":25}
912	grainfield	90	110	5	4000	{"armored":25}
913	grainfield	90	149	5	4000	{"motor":25}
914	swamp	90	167	5	0	{"infantry":25}
915	oil	90	183	5	4000	{"ltank":25}
916	rarefactory	91	30	6	4800	{"infantry":30}
917	swamp	91	180	1	0	{"infantry":5}
918	swamp	92	47	4	0	{"motor":20}
919	rarefactory	92	69	4	3200	{"armored":20}
920	hill	92	84	2	0	{"motor":10}
921	grainfield	92	95	3	2400	{"ltank":15}
922	swamp	92	107	4	0	{"ltank":20}
923	hill	92	157	4	0	{"armored":20}
924	forest	93	66	5	0	{"ltank":25}
925	rarefactory	93	105	2	1600	{"ltank":10}
926	oil	93	139	4	3200	{"armored":20}
927	swamp	94	19	3	0	{"armored":15}
928	swamp	94	23	6	0	{"motor":30}
929	hill	94	59	6	0	{"motor":30}
930	swamp	94	68	4	0	{"ltank":20}
931	oil	94	71	6	4800	{"motor":30}
932	hill	94	79	6	0	{"ltank":30}
933	oil	94	91	4	3200	{"infantry":20}
934	oil	94	99	2	1600	{"ltank":10}
935	oil	94	119	4	3200	{"armored":20}
936	oil	94	121	5	4000	{"ltank":25}
937	swamp	94	166	1	0	{"infantry":5}
938	ironworks	94	172	3	2400	{"armored":15}
939	hill	94	182	1	0	{"ltank":5}
940	forest	95	1	1	0	{"infantry":5}
941	rarefactory	95	38	5	4000	{"ltank":25}
942	hill	95	48	4	0	{"armored":20}
943	ironworks	95	126	4	3200	{"armored":20}
944	hill	95	137	1	0	{"infantry":5}
945	ironworks	96	6	3	2400	{"ltank":15}
946	ironworks	96	30	6	4800	{"armored":30}
947	hill	96	62	3	0	{"motor":15}
948	swamp	96	93	5	0	{"motor":25}
949	rarefactory	96	124	5	4000	{"motor":25}
950	swamp	96	133	5	0	{"infantry":25}
951	swamp	97	34	6	0	{"armored":30}
952	oil	97	42	1	800	{"armored":5}
953	rarefactory	97	74	5	4000	{"motor":25}
954	ironworks	97	91	4	3200	{"motor":20}
955	oil	97	95	1	800	{"infantry":5}
956	hill	97	128	2	0	{"ltank":10}
957	swamp	97	160	6	0	{"armored":30}
958	ironworks	97	187	1	800	{"motor":5}
959	ironworks	98	1	5	4000	{"armored":25}
960	rarefactory	98	83	1	800	{"armored":5}
961	swamp	98	93	4	0	{"infantry":20}
962	swamp	98	107	3	0	{"infantry":15}
963	grainfield	100	15	4	3200	{"armored":20}
964	ironworks	100	23	5	4000	{"armored":25}
965	ironworks	100	44	3	2400	{"armored":15}
966	forest	100	89	1	0	{"armored":5}
967	ironworks	100	106	1	800	{"ltank":5}
968	swamp	100	126	4	0	{"infantry":20}
969	oil	101	83	2	1600	{"armored":10}
970	swamp	101	86	1	0	{"armored":5}
971	oil	101	104	6	4800	{"motor":30}
972	swamp	101	122	4	0	{"armored":20}
973	forest	101	186	4	0	{"motor":20}
974	swamp	102	37	6	0	{"armored":30}
975	grainfield	102	80	4	3200	{"ltank":20}
976	ironworks	102	108	3	2400	{"infantry":15}
977	rarefactory	103	26	5	4000	{"ltank":25}
978	grainfield	103	74	6	4800	{"ltank":30}
979	ironworks	103	93	3	2400	{"infantry":15}
980	hill	103	156	2	0	{"motor":10}
981	oil	103	162	1	800	{"ltank":5}
982	forest	103	168	1	0	{"infantry":5}
983	swamp	103	187	2	0	{"ltank":10}
984	grainfield	104	103	6	4800	{"motor":30}
985	grainfield	104	109	6	4800	{"armored":30}
986	rarefactory	104	116	3	2400	{"motor":15}
987	rarefactory	104	124	4	3200	{"infantry":20}
988	ironworks	104	134	2	1600	{"motor":10}
989	forest	104	160	6	0	{"infantry":30}
990	swamp	105	36	4	0	{"armored":20}
991	rarefactory	105	107	2	1600	{"motor":10}
992	rarefactory	105	142	3	2400	{"motor":15}
993	forest	106	50	1	0	{"infantry":5}
994	swamp	106	68	1	0	{"motor":5}
995	ironworks	106	72	2	1600	{"infantry":10}
996	hill	106	90	4	0	{"motor":20}
997	rarefactory	106	93	2	1600	{"armored":10}
998	hill	106	95	4	0	{"armored":20}
999	forest	106	100	3	0	{"armored":15}
1000	grainfield	107	3	5	4000	{"armored":25}
1001	rarefactory	107	18	4	3200	{"infantry":20}
1002	oil	107	56	5	4000	{"infantry":25}
1003	forest	107	107	4	0	{"infantry":20}
1004	oil	107	172	5	4000	{"infantry":25}
1005	oil	108	14	5	4000	{"ltank":25}
1006	ironworks	108	24	5	4000	{"infantry":25}
1007	oil	108	28	6	4800	{"infantry":30}
1008	forest	108	100	4	0	{"armored":20}
1009	forest	108	128	6	0	{"infantry":30}
1010	rarefactory	108	131	5	4000	{"ltank":25}
1011	swamp	108	153	4	0	{"armored":20}
1012	grainfield	109	1	5	4000	{"motor":25}
1013	swamp	109	10	1	0	{"infantry":5}
1014	grainfield	109	90	2	1600	{"infantry":10}
1015	grainfield	109	94	1	800	{"ltank":5}
1016	rarefactory	109	98	2	1600	{"infantry":10}
1017	hill	109	107	1	0	{"motor":5}
1018	hill	109	109	4	0	{"ltank":20}
1019	oil	109	122	6	4800	{"motor":30}
1020	ironworks	109	145	6	4800	{"ltank":30}
1021	rarefactory	109	179	5	4000	{"motor":25}
1022	forest	109	186	3	0	{"ltank":15}
1023	oil	110	66	3	2400	{"motor":15}
1024	swamp	110	82	1	0	{"armored":5}
1025	oil	110	154	3	2400	{"ltank":15}
1026	grainfield	110	173	2	1600	{"armored":10}
1027	swamp	111	11	5	0	{"infantry":25}
1028	rarefactory	111	42	1	800	{"ltank":5}
1029	hill	111	54	3	0	{"infantry":15}
1030	hill	111	72	6	0	{"infantry":30}
1031	grainfield	111	135	5	4000	{"infantry":25}
1032	oil	111	161	5	4000	{"ltank":25}
1033	grainfield	111	171	2	1600	{"motor":10}
1034	hill	111	179	6	0	{"infantry":30}
1035	ironworks	112	14	3	2400	{"armored":15}
1036	ironworks	112	52	2	1600	{"infantry":10}
1037	oil	112	65	4	3200	{"motor":20}
1038	forest	112	125	2	0	{"infantry":10}
1039	hill	112	138	1	0	{"armored":5}
1040	hill	112	157	2	0	{"armored":10}
1041	grainfield	112	159	4	3200	{"motor":20}
1042	grainfield	113	11	5	4000	{"armored":25}
1043	swamp	113	44	6	0	{"armored":30}
1044	oil	113	48	2	1600	{"infantry":10}
1045	swamp	113	50	3	0	{"armored":15}
1046	forest	113	87	4	0	{"ltank":20}
1047	forest	113	174	2	0	{"armored":10}
1048	hill	114	53	4	0	{"ltank":20}
1049	swamp	114	57	4	0	{"motor":20}
1050	ironworks	115	23	3	2400	{"infantry":15}
1051	grainfield	115	55	2	1600	{"infantry":10}
1052	rarefactory	115	134	1	800	{"motor":5}
1053	swamp	116	36	2	0	{"infantry":10}
1054	swamp	116	51	4	0	{"infantry":20}
1055	hill	116	76	1	0	{"infantry":5}
1056	oil	116	78	2	1600	{"armored":10}
1057	hill	116	97	6	0	{"armored":30}
1058	rarefactory	116	124	2	1600	{"motor":10}
1059	ironworks	116	146	5	4000	{"ltank":25}
1060	hill	117	17	6	0	{"armored":30}
1061	ironworks	117	65	5	4000	{"armored":25}
1062	grainfield	117	163	4	3200	{"infantry":20}
1063	swamp	117	183	5	0	{"ltank":25}
1064	ironworks	117	188	5	4000	{"motor":25}
1065	forest	118	33	3	0	{"ltank":15}
1066	swamp	118	62	2	0	{"motor":10}
1067	grainfield	118	101	3	2400	{"ltank":15}
1068	swamp	118	117	3	0	{"infantry":15}
1069	swamp	118	171	1	0	{"infantry":5}
1070	rarefactory	119	86	1	800	{"armored":5}
1071	swamp	119	132	2	0	{"infantry":10}
1072	oil	119	152	5	4000	{"infantry":25}
1073	rarefactory	120	0	1	800	{"motor":5}
1074	ironworks	120	118	5	4000	{"armored":25}
1075	grainfield	121	15	1	800	{"armored":5}
1076	forest	121	33	4	0	{"infantry":20}
1077	oil	121	36	6	4800	{"ltank":30}
1078	oil	121	40	5	4000	{"motor":25}
1079	grainfield	121	149	4	3200	{"infantry":20}
1080	rarefactory	121	169	6	4800	{"armored":30}
1081	oil	121	178	1	800	{"ltank":5}
1082	forest	121	185	6	0	{"armored":30}
1083	swamp	122	82	2	0	{"motor":10}
1084	grainfield	122	92	1	800	{"armored":5}
1085	grainfield	123	15	6	4800	{"infantry":30}
1086	oil	123	70	2	1600	{"armored":10}
1087	forest	123	100	2	0	{"armored":10}
1088	ironworks	123	157	5	4000	{"infantry":25}
1089	grainfield	124	9	3	2400	{"armored":15}
1090	grainfield	124	52	6	4800	{"infantry":30}
1091	hill	124	76	1	0	{"armored":5}
1092	swamp	124	95	2	0	{"infantry":10}
1093	ironworks	124	183	5	4000	{"infantry":25}
1094	grainfield	125	58	2	1600	{"armored":10}
1095	grainfield	125	66	6	4800	{"motor":30}
1096	rarefactory	125	99	4	3200	{"ltank":20}
1097	grainfield	125	128	4	3200	{"motor":20}
1098	forest	125	139	2	0	{"armored":10}
1099	hill	125	170	4	0	{"ltank":20}
1100	grainfield	126	9	6	4800	{"infantry":30}
1101	forest	126	114	6	0	{"ltank":30}
1102	oil	126	189	4	3200	{"infantry":20}
1103	forest	127	2	6	0	{"ltank":30}
1104	grainfield	127	47	3	2400	{"armored":15}
1105	ironworks	127	84	6	4800	{"motor":30}
1106	swamp	128	34	5	0	{"motor":25}
1107	grainfield	128	104	5	4000	{"ltank":25}
1108	grainfield	128	150	3	2400	{"ltank":15}
1109	rarefactory	128	169	4	3200	{"armored":20}
